City Council,9/17/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=48126,http://lfdocs.cannonfallsmn.gov/WebLink8/ElectronicFile.aspx?docid=48305&dbid=0,http://www.youtube.com/watch?v=lXHOlqptJ9c
Cable,9/11/2013,5:30 PM,City Hall,agendas/130911cable/packet.pdf,--,
EDA,9/11/2013,7:00 AM,City Hall,agendas/130911eda/packet.pdf,--,
Planning,9/9/2013,6:30 PM,City Hall,agendas/130909/packet.pdf,--,
Library,9/9/2013,6:00 PM,City Hall,agendas/090913lib/packet.pdf,--,
City Council,9/3/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47942,--,http://www.youtube.com/watch?v=ogU3GD74UeA
Public Works,9/3/2013,1:00 PM,City Hall,agendas/130903pw/agenda.pdf,--,
Trail Board,8/27/2013,7:00 PM,--,--,--,
City Council,8/20/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47799,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47934,http://www.youtube.com/watch?v=ePDj3qs1ikk
EDA,8/14/2013,7:00 AM,City Hall,--,--,
Library Board,8/12/2013,6:00 PM,City Hall,--,--,
Council Worksession,8/6/2013,after Council,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47650,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47787,https://www.youtube.com/watch?v=egxt1GjmzX0
City Council,8/6/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47661,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47786,https://www.youtube.com/watch?v=1QCHTE3O2Ws
Public Works,8/6/2013,1:00 PM,City Hall,agendas/130806pw/agenda.pdf,--,
Trail Board,7/23/2013,7:00 PM,--,--,--,
Council Worksession,7/16/2013,after Council,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47500,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47654,http://www.youtube.com/watch?v=egxt1GjmzX0&feature=c4-overview&list=UUIi1h9LoV9fefFTucM8bRtw
City Council,7/16/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47516,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47653,http://www.youtube.com/watch?v=1QCHTE3O2Ws&list=UUIi1h9LoV9fefFTucM8bRtw
EDA,7/10/2013,7:00 AM,City Hall,agendas/130710eda/agenda.pdf,--,
Cable,7/10/2013,5:30 PM,City Hall,agendas/130710cable/agenda.pdf,--,
Planning,7/8/2013,6:30 PM,City Hall,agendas/130708/agenda.pdf,--,http://www.youtube.com/watch?v=VhDia32JH3o&feature=youtu.be
Library Board,7/8/2013,6:00 PM,City Hall,--,--,
City Council,7/2/2013,5:30 PM,Fairgrounds,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&id=47318&openfile=true,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=47503,http://www.youtube.com/watch?v=zA08Ll2dCEc
Public Works,7/2/2013,1:00 PM,City Hall,agendas/130702pw/agenda.pdf,--,
City Council,6/18/2013,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&id=47161&openfile=true,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&id=47310&openfile=true,http://www.youtube.com/watch?v=NoS1ryRIGAw
EDA,6/12/2013,7:00 AM,City Hall,agendas/130612/agenda.pdf,--,
Planning,6/10/2013,6:30 PM,City Hall,agendas/130610/agenda.pdf,--,
Library Board,6/10/2013,6:00 PM,City Hall,agendas/130610lib/agenda.pdf,--,
City Council,6/4/2013,6:30 PM,City Hall,agenda13.php?mtg=130604,http://lfdocs.cannonfallsmn.gov/WebLink8/0/doc/47139/Electronic.aspx,http://www.youtube.com/watch?v=tbvPI0mcpa8
Public Works (canceled),6/4/2013,1:00 PM,City Hall,--,--,
Trail Board,5/28/2013,7:00 PM,--,--,--,
City Council,5/21/2013,6:30 PM,City Hall,agenda13.php?mtg=130521,agendas/130604/7b.pdf,http://www.youtube.com/watch?v=zVLwErfOS7Y&feature=youtu.be
Planning,5/13/2013,6:30 PM,City Hall,--,--,http://www.youtube.com/watch?v=8rXz5Dp4WSE&feature=youtu.be
Library Board,5/13/2013,6:00 PM,City Hall,agendas/130513lib/agenda.pdf,--,
Cable,5/8/2013,5:30 PM,City Hall,agendas/130508cable/agenda.pdf,--,
